"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","INFO","HTTP","",""
"pre_128cipher","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","INFO","No 128 cipher limit bug","",""
"SSLv2","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","OK","not offered","",""
"SSLv3","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","OK","not offered","",""
"TLS1","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","INFO","not offered","",""
"TLS1_1","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","INFO","not offered","",""
"TLS1_2","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","OK","offered","",""
"TLS1_3","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","OK","offered with final","",""
"ALPN_HTTP2","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","OK","h2","",""
"ALPN","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","INFO","http/1.1","",""
"cipherlist_NULL","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","OK","not offered","","CWE-327"
"cipherlist_LOW","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","INFO","not offered","",""
"cipherlist_STRONG_FS","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","OK","offered","",""
"cipher_order-tls1_2","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","OK","server","",""
"cipherorder_TLSv1_2","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","OK","server -- TLS 1.3 client determined","",""
"FS","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","OK","offered","",""
"FS_ciphers","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","OK","secp384r1 secp521r1","",""
"TLS_extensions","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","INFO","'session ticket/#35' 'renegotiation info/#65281' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'application layer protocol negotiation/#16'","",""
"TLS_session_ticket","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","INFO","yes","",""
"sessionresumption_ticket","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","INFO","not supported","",""
"sessionresumption_ID","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","INFO","not supported","",""
"TLS_timestamp","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","INFO","random","",""
"certificate_compression","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","INFO","none","",""
"clientAuth","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","INFO","none","",""
"cert_numbers","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","INFO","1","",""
"cert_signatureAlgorithm","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","OK","SHA256 with RSA","",""
"cert_keySize","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","INFO","03EC433909F82AACDED05B55A89EA62008A5","",""
"cert_serialNumberLen","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","INFO","18","",""
"cert_fingerprintSHA1","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","INFO","64B3F934184008E5904F899AE2E43B3B41ECB110","",""
"cert_fingerprintSHA256","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","INFO","BE372F4C3494DBE3EACEAB22383901F2B0DAF77F07D46B5F5770C6877F86E8C0","",""
"cert","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","INFO","-----BEGIN CERTIFICATE-----\nMIIFEzCCA/ugAwIBAgISA+xDOQn4Kqze0FtVqJ6mIAilMA0GCSqGSIb3DQEBCwUAMDIxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQswCQYDVQQDEwJSMzAeFw0yNDAzMjMwOTE1NTVaFw0yNDA2MjEwOTE1NTRaMC4xLDAqBgNVBAMTI3BsYXRlZm9ybWUuZGlhZ29yaWVudGUuYmV0YS5nb3V2LmZyMIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA+LkBsfhjddgqQnYtk6AU6YZaZUU3zgF2/Hx8FlRAESHrIhEcUN3uHXZYSMk2fWFfRoE//j40gbtUZe0QdXRDsBeDhqrHMLzOxvPknnI9K9fviBjBJqbFpR04PSUxOEuAZB4OtgTgMPFriIrpsXmBXqq0FhR5VjE3QG7Hufg0kLwEpmYv3Llu7bxVwTI9fYhWRYtmJzoLx9R/n9We5hME5CsfaE+h/iXle1ndRbAnTRIK/8GS1sd6ofvfK7C2ZJhm20lJRH3xuz3Q4ZHFvhXMO6L+DrOc1cu6eBHK1tXdELmR7l16Ez4/hMdUo8QBETEAJ1SlHNsYjcRbTTyORk6Y+QIDAQABo4ICJTCCAiEwDgYDVR0PAQH/BAQDAgWgMB0GA1UdJQQWMBQGCCsGAQUFBwMBBggrBgEFBQcDAjAMBgNVHRMBAf8EAjAAMB0GA1UdDgQWBBSA/iObbqnK5M3mjjKDI+Ic1IObdDAfBgNVHSMEGDAWgBQULrMXt1hWy65QCUDmH6+dixTCxjBVBggrBgEFBQcBAQRJMEcwIQYIKwYBBQUHMAGGFWh0dHA6Ly9yMy5vLmxlbmNyLm9yZzAiBggrBgEFBQcwAoYWaHR0cDovL3IzLmkubGVuY3Iub3JnLzAuBgNVHREEJzAlgiNwbGF0ZWZvcm1lLmRpYWdvcmllbnRlLmJldGEuZ291di5mcjATBgNVHSAEDDAKMAgGBmeBDAECATCCAQQGCisGAQQB1nkCBAIEgfUEgfIA8AB2ADtTd3U+LbmAToswWwb+QDtn2E/D9Me9AA0tcm/h+tQXAAABjmrPT90AAAQDAEcwRQIhANYx8ivA1E7R80svas2Y+6bnR+cq8svLVaj4KEQJ+HVGAiBJ0g7uZFOSY5D3a7W124F1q2ka54NSc38gqgdb+4r7gAB2AHb/iD8KtvuVUcJhzPWHujS0pM27KdxoQgqf5mdMWjp0AAABjmrPUBsAAAQDAEcwRQIhALj1JnABuyAbHh6AwV9+AGVmNuP9FdY+YIeR6QT7gV70AiB5rALA6dclz8pqCpKkq4HnOnWydMoAcObichzkalSY8TANBgkqhkiG9w0BAQsFAAOCAQEApRHYmmgPEfcdb11Mq3S0ux4Gx2hBTQNmQcx350sxDqTGccxkULVAoHlR5CcwX5Ayqc6uXsmmb/TvEUepjmsiKmieTqkdaohBwF5kWyE8Ky8sBrOo9mQ/OICVocsZxa8WbVTIOJpfGt6An4D3Pxtqex93n+TtJHhtq00g+u9XKoBfjsKQpV/UR+h7ttQ315m94JT18vnqeitR4qI3PUgT4eTqrRgqZaE/ZHBmyHTysFSGl+flO2ETwaFnBbw7TEWFubNoA8rvb7HwaDXUnF1gU0DJYAMypPXliNYMMMsxBhiAus4MgdqgA2afDi2D0eyCTbTFfvCzR87FGtPOQcpVHg==\n-----END CERTIFICATE-----","",""
"cert_commonName","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","OK","plateforme.diagoriente.beta.gouv.fr","",""
"cert_commonName_wo_SNI","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","INFO","TRAEFIK DEFAULT CERT","",""
"cert_subjectAltName","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","INFO","plateforme.diagoriente.beta.gouv.fr","",""
"cert_trust","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","OK","passed.","",""
"cert_certificatePolicies_EV","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","INFO","no","",""
"cert_expirationStatus","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","OK","89 >= 30 days","",""
"cert_notBefore","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","INFO","2024-03-23 09:15","",""
"cert_notAfter","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","OK","2024-06-21 09:15","",""
"cert_extlifeSpan","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","OK","certificate has no extended life time according to browser forum","",""
